Рокоссовск:2:Бульвар Рокоссовского
Черкизовск:2:Черкизовская станция
Преображенск:2:Преображенская площадь
Сокольники:2:Сокольники
Красносельск:1:Красносельская станция
Комсомольск:1:Комсомольская станция
Красные Ворота:1:Красные Ворота
Чистые пруды:1:Чистые пруды
Лубянка:1:Лубянка
Охотный Ряд:1:Охотный Ряд
Библиотека:1:Библиотека имени Ленина
Кропоткинск:1:Кропоткинская
Парк культуры:1:Парк культуры
Фрунзенск:1:Фрунзенская станция
Спортивн:3:Спортивная станция
Воробьёвы горы:3:Воробьёвы горы
Университет:3:Университет
Вернадск:3:Пр. Вернадского
Юго-Западн:3:Юго-Западная станция
Тропарёво:3:Тропарёво
Румянцево:3:Румянцево
Саларьево:3:Саларьево
Филатов луг:3:Филатов луг
Прошкино:3:Прошкино
Ольхов:3:Ольховая станция
Коммунарк:3:Коммунарка
Речной:2:Речной вокзал
Водный стадион:2:Водный стадион
Войковск:2:Войковская станция
Сокол:2:Сокол
Аэропорт:2:Аэропорт
Динамо:1:Динамо
Белорусск:1:Белорусская станция
Маяковск:1:Маяковская станция
Тверск:1:Тверская
Театральн:1:Театральная
Новокузнецк:1:Новокузнецкая станция
Павелецк:1:Павелецкая станция
Автозаводск:1:Автозаводская
Технопарк:3:Технопарк
Коломенск:3:Коломенская станция
Каширск:3:Каширская станция
Кантемировск:3:Кантемировская
Царицыно:3:Царицыно
Орехово:3:Орехово
Домодедовск:3:Домодедовская станция
Красногвардейск:3:Красногвардейская станция
Алма-Атинск:3:Алма-Атинская станция
Пятницк:4:Пятницкое шоссе
Митино:4:Митино
Волоколамск:4:Волоколамская станция
Мякинино:4:Мякинино
Строгино:4:Строгино
Крылатск:4:Крылатское
Молодёжн:4:Молодёжная станция
Кунцевск:4:Кунцевская станция
Славянский бульвар:4:Славянский бульвар
Парк Победы:4:Парк Победы
Киевск:1:Киевская станция метро Москвы
Смоленск:1:Смоленская станция
Арбатск:1:Арбатская станция
Революции:1:Площадь Революции
Курск:1:Курская станция
Бауманск:1:Бауманская станция
Электрозаводск:5:Электрозаводская станция
Семёновск:5:Семёновская станция
Семеновск:5:Семёновская станция
Партизанск:5:Партизанская
Измайловск:5:Измайловская
Первомайск:5:Первомайская станция
Щёлковск:5:Щёлковская станция
Кунцевск:4:Кунцевская станция
Пионерск:4:Пионерская станция
Филёвский парк:4:Филёвский парк
Багратионовск:4:Багратионовская станция
Фили:4:Фили
Кутузовск:4:Кутузовская станция
Студенческ:4:Студенческая станция
Международн:1:Международная станция
Выставочная:1:Выставочная
Киевск:1:Киевская станция
Смоленск:1:Смоленская станция
Арбатск:1:Арбатская станция
Александровский сад:1:Александровский сад
Парк культуры:1:Парк культуры
Октябрьск:1:Октябрьская
Добрынинск:1:Добрынинская
Павелецк:1:Павелецкая станция
Таганск:1:Таганская станция
Курск:1:Курская станция метро Москвы
Комсомольск:1:Комсомольская станция
Мира:1:Пр-кт Мира
Новослободск:1:Новослободская станция
Белорусск:1:Белорусская станция
Краснопресненск:1:Краснопресненская
Киевск:1:Киевская станция
Медведково:2:Медведково
Бабушкинск:2:Бабушкинская станция
Свиблово:2:Свиблово
Ботанический сад:2:Ботанический сад
ВДНХ:2:ВДНХ
Алексеевск:2:Алексеевская
Рижск:1:Рижская станция
Мира:1:Пр. Мира
Сухаревск:1:Сухаревская
Тургеневск:1:Тургеневская станция
Китай-город:1:Китай-город
Третьяковск:1:Третьяковская
Октябрьск:1:Октябрьская станция
Шаболовск:1:Шаболовская станция
Ленинск:3:Ленинский проспект
Академическ:3:Академическая станция
Профсоюзн:3:Профсоюзная станция
Новые Черёмушки:3:Новые Черёмушки
Калужск:3:Калужская станция метро Москвы
Беляево:3:Беляево
Коньково:3:Коньково
Тёплый Стан:3:Тёплый Стан
Ясенево:3:Ясенево
Новоясеневск:3:Новоясеневская
Планерн:4:Планерная станция
Сходненск:4:Сходненская станция
Тушинск:4:Тушинская станция
Спартак:4:Спартак
Щукинск:4:Щукинская станция
Октябрьское:4:Октябрьское поле
Полежаевск:4:Полежаевская станция
Бегов:1:Беговая станция
1905:1:Улица 1905 года
Баррикадн:1:Баррикадная
Пушкинск:1:Пушкинская станция
Кузнецкий Мост:1:Кузнецкий Мост
Китай-город:1:Китай-город
Таганск:1:Таганская станция
Пролетарск:1:Пролетарская станция
Волгоградск:5:Волгоградский пр-кт
Текстильщики:5:Текстильщики
Кузьминки:5:Кузьминки
Рязанск:5:Рязанский пр-кт
Выхино:5:Выхино
Лермонтовск:5:Лермонтовский пр-кт
Жулебино:5:Жулебино
Котельники:5:Котельники
Раменки:4:Раменки
Ломоносовск:4:Ломоносовский пр-кт
Минск:4:Минская станция метро Москвы
Парк Победы:4:Парк Победы
Делово:1:Деловой центр
Третьяковск:1:Третьяковская станция
Марксистск:1:Марксистская станция
Ильича:1:Площадь Ильича
Авиамоторн:5:Авиамоторная станция
Перово:5:Перово
Новогиреево:5:Новогиреево
Новокосино:5:Новокосино
Рассказовк:4:Рассказовка
Новопеределкин:4:Новопеределкино
Боровск:4:Боровское шоссе
Солнцево:4:Солнцево
Говорово:4:Говорово
Озерн:4:Озерная станция
Мичуринск:4:Мичуринский пр-кт
Раменки:4:Раменки
Ломоносовск:4:Ломоносовский пр-кт
